"rules","support","confidence","coverage","lift","count"
"1","{green} => {red}",0.0909090909090909,0.5,0.181818181818182,0.916666666666667,1
"2","{green} => {white}",0.0909090909090909,0.5,0.181818181818182,0.785714285714286,1
"3","{orange} => {red}",0.0909090909090909,0.5,0.181818181818182,0.916666666666667,1
"4","{orange} => {white}",0.181818181818182,1,0.181818181818182,1.57142857142857,2
"5","{blue} => {red}",0.363636363636364,0.666666666666667,0.545454545454546,1.22222222222222,4
"7","{blue} => {white}",0.363636363636364,0.666666666666667,0.545454545454546,1.04761904761905,4
"9","{red} => {white}",0.363636363636364,0.666666666666667,0.545454545454546,1.04761904761905,4
"11","{red,green} => {white}",0.0909090909090909,1,0.0909090909090909,1.57142857142857,1
"13","{red,orange} => {white}",0.0909090909090909,1,0.0909090909090909,1.57142857142857,1
"15","{red,blue} => {white}",0.181818181818182,0.5,0.363636363636364,0.785714285714286,2
